pid,gender,cond,feasible,achieved_class,fallback_depth,n_valid_cands,n_changed_vars,mean_l1_dist,diversity,anthro_viol,energy_viol,conflict_viol,any_viol,reached_target,reached_but_outside
6524,Male,B2_mc,True,0.0,0.0,4,24.25,9.2309,9.2516,0.0,0.0,0.0,0.0,,
6524,Male,B1_soft,False,,,0,,,,,,,,True,True
3865,Male,B2_mc,True,0.0,0.0,4,24.5,10.5068,11.9135,0.0,0.0,0.0,0.0,,
3865,Male,B1_soft,True,0.0,0.0,1,25.0,12.0841,0.0,0.0,0.0,0.0,0.0,True,False
7571,Male,B2_mc,True,0.0,0.0,4,24.75,6.5446,6.9738,0.0,0.0,0.0,0.0,,
7571,Male,B1_soft,False,,,0,,,,,,,,True,True
9381,Male,B2_mc,True,0.0,0.0,4,23.5,7.6326,7.5846,0.0,0.0,0.0,0.0,,
9381,Male,B1_soft,False,,,0,,,,,,,,True,True
2694,Male,B2_mc,True,1.0,1.0,4,24.75,9.0737,7.3105,0.0,0.0,0.0,0.0,,
2694,Male,B1_soft,True,0.0,0.0,1,25.0,10.9863,0.0,0.0,0.0,0.0,0.0,True,False
6647,Male,B2_mc,True,0.0,0.0,4,24.0,8.3334,8.8703,0.0,0.0,0.0,0.0,,
6647,Male,B1_soft,False,,,0,,,,,,,,True,True
6681,Male,B2_mc,True,0.0,0.0,4,24.0,7.4232,7.4586,0.0,0.0,0.0,0.0,,
6681,Male,B1_soft,False,,,0,,,,,,,,True,True
3537,Male,B2_mc,True,0.0,0.0,4,23.25,8.4216,9.3936,0.0,0.0,0.0,0.0,,
3537,Male,B1_soft,False,,,0,,,,,,,,True,True
8517,Male,B2_mc,True,0.0,0.0,4,24.0,9.1168,8.6445,0.0,0.0,0.0,0.0,,
8517,Male,B1_soft,False,,,0,,,,,,,,True,True
5624,Male,B2_mc,True,0.0,0.0,4,23.75,8.5304,8.9782,0.0,0.0,0.0,0.0,,
5624,Male,B1_soft,False,,,0,,,,,,,,True,True
9456,Male,B2_mc,True,0.0,0.0,4,23.0,7.9344,8.4034,0.0,0.0,0.0,0.0,,
9456,Male,B1_soft,False,,,0,,,,,,,,True,True
6741,Male,B2_mc,True,1.0,1.0,4,23.75,8.9831,8.0989,0.0,0.0,0.0,0.0,,
6741,Male,B1_soft,False,,,0,,,,,,,,True,True
9657,Male,B2_mc,True,0.0,0.0,4,24.0,10.8878,9.9726,0.0,0.0,0.0,0.0,,
9657,Male,B1_soft,False,,,0,,,,,,,,True,True
2712,Male,B2_mc,True,0.0,0.0,4,24.75,7.8158,8.2181,0.0,0.0,0.0,0.0,,
2712,Male,B1_soft,False,,,0,,,,,,,,True,True
8857,Male,B2_mc,True,0.0,0.0,4,23.75,10.9833,10.3845,0.0,0.0,0.0,0.0,,
8857,Male,B1_soft,False,,,0,,,,,,,,True,True
3385,Male,B2_mc,True,0.0,0.0,4,23.0,6.093,6.9767,0.0,0.0,0.0,0.0,,
3385,Male,B1_soft,False,,,0,,,,,,,,True,True
3022,Male,B2_mc,True,0.0,0.0,4,23.0,9.8963,9.0328,0.0,0.0,0.0,0.0,,
3022,Male,B1_soft,False,,,0,,,,,,,,True,True
6624,Male,B2_mc,True,0.0,0.0,4,23.75,9.5892,9.806,0.0,0.0,0.0,0.0,,
6624,Male,B1_soft,False,,,0,,,,,,,,True,True
8834,Male,B2_mc,True,0.0,0.0,4,24.0,7.4833,7.1919,0.0,0.0,0.0,0.0,,
8834,Male,B1_soft,False,,,0,,,,,,,,True,True
3276,Male,B2_mc,True,0.0,0.0,4,24.5,9.3081,8.9435,0.0,0.0,0.0,0.0,,
3276,Male,B1_soft,False,,,0,,,,,,,,True,True
3203,Male,B2_mc,True,1.0,1.0,4,24.5,10.0603,10.7278,0.0,0.0,0.0,0.0,,
3203,Male,B1_soft,False,,,0,,,,,,,,True,True
6707,Male,B2_mc,True,1.0,1.0,4,24.0,8.4232,9.2822,0.0,0.0,0.0,0.0,,
6707,Male,B1_soft,False,,,0,,,,,,,,True,True
4297,Male,B2_mc,True,1.0,1.0,4,23.5,8.4943,9.7783,0.0,0.0,0.0,0.0,,
4297,Male,B1_soft,False,,,0,,,,,,,,True,True
9075,Male,B2_mc,True,0.0,0.0,4,24.0,8.9822,8.6693,0.0,0.0,0.0,0.0,,
9075,Male,B1_soft,False,,,0,,,,,,,,True,True
5539,Male,B2_mc,True,0.0,0.0,4,23.25,6.4264,6.1578,0.0,0.0,0.0,0.0,,
5539,Male,B1_soft,False,,,0,,,,,,,,True,True
5946,Male,B2_mc,True,0.0,0.0,4,25.0,10.5527,11.2145,0.0,0.0,0.0,0.0,,
5946,Male,B1_soft,True,1.0,1.0,1,25.0,11.2922,0.0,0.0,0.0,0.0,0.0,True,False
3726,Male,B2_mc,True,0.0,0.0,4,23.75,7.7512,8.4746,0.0,0.0,0.0,0.0,,
3726,Male,B1_soft,False,,,0,,,,,,,,True,True
6164,Male,B2_mc,True,0.0,0.0,4,23.75,9.2387,8.0807,0.0,0.0,0.0,0.0,,
6164,Male,B1_soft,False,,,0,,,,,,,,True,True
8701,Male,B2_mc,True,0.0,0.0,4,23.5,5.95,6.9562,0.0,0.0,0.0,0.0,,
8701,Male,B1_soft,False,,,0,,,,,,,,True,True
9664,Male,B2_mc,True,0.0,0.0,4,23.5,9.3779,11.1302,0.0,0.0,0.0,0.0,,
9664,Male,B1_soft,False,,,0,,,,,,,,True,True
8595,Female,B2_mc,True,0.0,0.0,4,23.25,9.8525,10.1985,0.0,0.0,0.0,0.0,,
8595,Female,B1_soft,False,,,0,,,,,,,,True,True
6832,Female,B2_mc,True,1.0,1.0,4,23.5,6.3283,8.5116,0.0,0.0,0.0,0.0,,
6832,Female,B1_soft,False,,,0,,,,,,,,True,True
6220,Female,B2_mc,True,0.0,0.0,4,23.5,11.2814,12.5536,0.0,0.0,0.0,0.0,,
6220,Female,B1_soft,False,,,0,,,,,,,,True,True
7997,Female,B2_mc,True,0.0,0.0,1,25.0,13.5229,0.0,0.0,0.0,0.0,0.0,,
7997,Female,B1_soft,True,1.0,1.0,1,24.0,6.9779,0.0,0.0,0.0,0.0,0.0,True,False
6604,Female,B2_mc,True,0.0,0.0,4,23.75,14.8336,14.0409,0.0,0.0,0.0,0.0,,
6604,Female,B1_soft,False,,,0,,,,,,,,True,True
8684,Female,B2_mc,True,0.0,0.0,4,23.5,9.0251,9.5016,0.0,0.0,0.0,0.0,,
8684,Female,B1_soft,False,,,0,,,,,,,,True,True
3657,Female,B2_mc,True,0.0,0.0,4,23.5,7.7988,9.1849,0.0,0.0,0.0,0.0,,
3657,Female,B1_soft,False,,,0,,,,,,,,True,True
6319,Female,B2_mc,True,0.0,0.0,4,23.75,7.349,8.3039,0.0,0.0,0.0,0.0,,
6319,Female,B1_soft,False,,,0,,,,,,,,True,True
6725,Female,B2_mc,True,0.0,0.0,2,24.0,14.3401,15.1554,0.0,0.0,0.0,0.0,,
6725,Female,B1_soft,False,,,0,,,,,,,,True,True
9719,Female,B2_mc,True,0.0,0.0,4,23.5,13.7079,12.9099,0.0,0.0,0.0,0.0,,
9719,Female,B1_soft,False,,,0,,,,,,,,True,True
8375,Female,B2_mc,True,0.0,0.0,4,23.25,8.7709,9.9902,0.0,0.0,0.0,0.0,,
8375,Female,B1_soft,False,,,0,,,,,,,,True,True
6901,Female,B2_mc,True,0.0,0.0,2,23.5,12.1101,12.8959,0.0,0.0,0.0,0.0,,
6901,Female,B1_soft,False,,,0,,,,,,,,True,True
9270,Female,B2_mc,True,0.0,0.0,4,24.0,11.7964,11.6539,0.0,0.0,0.0,0.0,,
9270,Female,B1_soft,False,,,0,,,,,,,,True,True
8996,Female,B2_mc,True,0.0,0.0,4,24.5,8.0195,9.3842,0.0,0.0,0.0,0.0,,
8996,Female,B1_soft,True,1.0,1.0,1,25.0,10.7949,0.0,0.0,0.0,0.0,0.0,True,False
3898,Female,B2_mc,True,0.0,0.0,4,23.25,9.5158,11.2561,0.0,0.0,0.0,0.0,,
3898,Female,B1_soft,False,,,0,,,,,,,,True,True
4766,Female,B2_mc,True,0.0,0.0,4,24.5,7.9603,9.6453,0.0,0.0,0.0,0.0,,
4766,Female,B1_soft,True,1.0,1.0,1,25.0,8.0475,0.0,0.0,0.0,0.0,0.0,True,False
6552,Female,B2_mc,True,0.0,0.0,4,23.5,10.9838,11.9653,0.0,0.0,0.0,0.0,,
6552,Female,B1_soft,False,,,0,,,,,,,,True,True
4088,Female,B2_mc,True,1.0,1.0,4,23.75,6.9691,8.8047,0.0,0.0,0.0,0.0,,
4088,Female,B1_soft,False,,,0,,,,,,,,True,True
6670,Female,B2_mc,True,1.0,1.0,4,23.5,6.0437,7.3987,0.0,0.0,0.0,0.0,,
6670,Female,B1_soft,False,,,0,,,,,,,,True,True
9561,Female,B2_mc,True,0.0,0.0,4,23.5,11.4402,13.5493,0.0,0.0,0.0,0.0,,
9561,Female,B1_soft,False,,,0,,,,,,,,True,True
3788,Female,B2_mc,True,0.0,0.0,4,23.75,9.8357,13.0064,0.0,0.0,0.0,0.0,,
3788,Female,B1_soft,False,,,0,,,,,,,,True,True
7990,Female,B2_mc,True,0.0,0.0,4,23.0,8.9478,11.0042,0.0,0.0,0.0,0.0,,
7990,Female,B1_soft,False,,,0,,,,,,,,True,True
6735,Female,B2_mc,True,1.0,1.0,4,23.75,6.4194,6.7283,0.0,0.0,0.0,0.0,,
6735,Female,B1_soft,False,,,0,,,,,,,,True,True
9155,Female,B2_mc,True,0.0,0.0,4,23.75,6.4168,6.9911,0.0,0.0,0.0,0.0,,
9155,Female,B1_soft,False,,,0,,,,,,,,True,True
2599,Female,B2_mc,True,0.0,0.0,4,23.75,5.3633,5.8684,0.0,0.0,0.0,0.0,,
2599,Female,B1_soft,False,,,0,,,,,,,,True,True
3879,Female,B2_mc,True,0.0,0.0,4,23.0,7.605,6.8704,0.0,0.0,0.0,0.0,,
3879,Female,B1_soft,False,,,0,,,,,,,,True,True
4303,Female,B2_mc,True,0.0,0.0,4,24.25,7.0357,8.8956,0.0,0.0,0.0,0.0,,
4303,Female,B1_soft,False,,,0,,,,,,,,True,True
7732,Female,B2_mc,True,0.0,0.0,4,23.0,7.5804,8.9954,0.0,0.0,0.0,0.0,,
7732,Female,B1_soft,False,,,0,,,,,,,,True,True
7051,Female,B2_mc,True,0.0,0.0,4,23.0,6.9658,7.5531,0.0,0.0,0.0,0.0,,
7051,Female,B1_soft,False,,,0,,,,,,,,True,True
8548,Female,B2_mc,True,0.0,0.0,4,23.5,7.2449,8.891,0.0,0.0,0.0,0.0,,
8548,Female,B1_soft,False,,,0,,,,,,,,True,True
4767,Female,B2_mc,True,0.0,0.0,4,23.75,5.5462,5.9861,0.0,0.0,0.0,0.0,,
4767,Female,B1_soft,False,,,0,,,,,,,,True,True
7741,Female,B2_mc,True,0.0,0.0,4,23.75,8.5089,7.2021,0.0,0.0,0.0,0.0,,
7741,Female,B1_soft,False,,,0,,,,,,,,True,True
6511,Female,B2_mc,True,0.0,0.0,4,23.75,7.4796,8.6405,0.0,0.0,0.0,0.0,,
6511,Female,B1_soft,False,,,0,,,,,,,,True,True
9616,Female,B2_mc,True,0.0,0.0,3,24.0,13.1549,15.3597,0.0,0.0,0.0,0.0,,
9616,Female,B1_soft,False,,,0,,,,,,,,True,True
6616,Female,B2_mc,True,0.0,0.0,1,24.0,16.1567,0.0,0.0,0.0,0.0,0.0,,
6616,Female,B1_soft,True,0.0,0.0,1,25.0,6.6756,0.0,0.0,0.0,0.0,0.0,True,False
7857,Female,B2_mc,True,0.0,0.0,4,24.25,7.144,8.2112,0.0,0.0,0.0,0.0,,
7857,Female,B1_soft,False,,,0,,,,,,,,True,True
9051,Female,B2_mc,True,0.0,0.0,4,23.5,10.8024,13.1877,0.0,0.0,0.0,0.0,,
9051,Female,B1_soft,False,,,0,,,,,,,,True,True
7933,Female,B2_mc,True,0.0,0.0,4,23.5,10.8481,10.7734,0.0,0.0,0.0,0.0,,
7933,Female,B1_soft,False,,,0,,,,,,,,True,True
8392,Female,B2_mc,True,0.0,0.0,4,24.5,7.8538,9.1132,0.0,0.0,0.0,0.0,,
8392,Female,B1_soft,True,0.0,0.0,1,25.0,10.2316,0.0,0.0,0.0,0.0,0.0,True,False
7372,Female,B2_mc,True,0.0,0.0,4,23.75,11.1771,11.5693,0.0,0.0,0.0,0.0,,
7372,Female,B1_soft,False,,,0,,,,,,,,True,True
6320,Female,B2_mc,True,0.0,0.0,4,24.0,7.7589,8.3295,0.0,0.0,0.0,0.0,,
6320,Female,B1_soft,False,,,0,,,,,,,,True,True
8101,Female,B2_mc,True,0.0,0.0,4,23.0,9.5996,10.5465,0.0,0.0,0.0,0.0,,
8101,Female,B1_soft,False,,,0,,,,,,,,True,True
9544,Female,B2_mc,True,0.0,0.0,4,22.75,7.614,8.2489,0.0,0.0,0.0,0.0,,
9544,Female,B1_soft,False,,,0,,,,,,,,True,True
8554,Female,B2_mc,True,0.0,0.0,4,22.0,8.0954,9.2879,0.0,0.0,0.0,0.0,,
8554,Female,B1_soft,False,,,0,,,,,,,,True,True
6161,Female,B2_mc,True,0.0,0.0,4,23.5,5.7941,6.07,0.0,0.0,0.0,0.0,,
6161,Female,B1_soft,False,,,0,,,,,,,,True,True
4957,Female,B2_mc,True,0.0,0.0,4,23.0,7.1774,8.6499,0.0,0.0,0.0,0.0,,
4957,Female,B1_soft,False,,,0,,,,,,,,True,True
7519,Female,B2_mc,True,0.0,0.0,4,24.75,9.4894,13.5067,0.0,0.0,0.0,0.0,,
7519,Female,B1_soft,True,1.0,1.0,1,25.0,9.7064,0.0,0.0,0.0,0.0,0.0,True,False
9460,Female,B2_mc,True,0.0,0.0,3,23.67,12.4872,14.5426,0.0,0.0,0.0,0.0,,
9460,Female,B1_soft,False,,,0,,,,,,,,True,True
4882,Female,B2_mc,True,0.0,0.0,4,24.0,9.3393,9.8449,0.0,0.0,0.0,0.0,,
4882,Female,B1_soft,False,,,0,,,,,,,,True,True
5058,Female,B2_mc,True,0.0,0.0,4,23.5,9.5892,10.48,0.0,0.0,0.0,0.0,,
5058,Female,B1_soft,False,,,0,,,,,,,,True,True
2818,Female,B2_mc,True,0.0,0.0,4,23.25,6.0452,7.2423,0.0,0.0,0.0,0.0,,
2818,Female,B1_soft,False,,,0,,,,,,,,True,True
8008,Female,B2_mc,True,0.0,0.0,4,25.0,8.1239,10.2339,0.0,0.0,0.0,0.0,,
8008,Female,B1_soft,True,0.0,0.0,1,24.0,12.9322,0.0,0.0,0.0,0.0,0.0,True,False
6949,Female,B2_mc,True,0.0,0.0,4,25.0,9.0522,10.6768,0.0,0.0,0.0,0.0,,
6949,Female,B1_soft,True,2.0,2.0,1,25.0,5.7606,0.0,0.0,0.0,0.0,0.0,True,False
8162,Female,B2_mc,True,0.0,0.0,4,24.0,9.656,10.3226,0.0,0.0,0.0,0.0,,
8162,Female,B1_soft,False,,,0,,,,,,,,True,True
4248,Female,B2_mc,True,1.0,1.0,4,24.0,7.847,9.9912,0.0,0.0,0.0,0.0,,
4248,Female,B1_soft,False,,,0,,,,,,,,True,True
7139,Female,B2_mc,True,0.0,0.0,4,24.5,8.9792,10.2581,0.0,0.0,0.0,0.0,,
7139,Female,B1_soft,False,,,0,,,,,,,,True,True
6673,Female,B2_mc,True,0.0,0.0,4,23.25,8.7236,9.6932,0.0,0.0,0.0,0.0,,
6673,Female,B1_soft,False,,,0,,,,,,,,True,True
6447,Female,B2_mc,True,0.0,0.0,4,23.5,8.1589,8.7932,0.0,0.0,0.0,0.0,,
6447,Female,B1_soft,False,,,0,,,,,,,,True,True
8919,Female,B2_mc,True,0.0,0.0,4,23.75,9.9936,11.9317,0.0,0.0,0.0,0.0,,
8919,Female,B1_soft,False,,,0,,,,,,,,True,True
9451,Female,B2_mc,True,0.0,0.0,4,23.0,7.399,7.9105,0.0,0.0,0.0,0.0,,
9451,Female,B1_soft,False,,,0,,,,,,,,True,True
