pid,gender,c0_feasible,n_cand,posthoc_a0.25,posthoc_a0.5,posthoc_a0.75,posthoc_a1.0,posthoc_a1.5,posthoc_a2.0,posthoc_a3.0,posthoc_a5.0
3898,Female,True,4,False,False,False,False,False,False,False,False
4766,Female,True,4,False,False,False,False,False,False,False,False
6552,Female,True,4,False,False,False,False,False,False,False,False
4088,Female,True,4,False,False,False,False,False,False,False,False
6670,Female,True,4,False,False,False,False,False,False,False,False
9561,Female,True,4,False,False,False,False,False,False,False,False
3788,Female,True,4,False,False,False,False,False,False,False,False
7990,Female,True,4,False,False,False,False,False,False,False,False
6735,Female,True,4,False,False,False,False,False,False,False,False
9155,Female,True,4,False,False,False,False,False,False,False,False
2599,Female,True,4,False,False,False,False,False,False,False,False
3879,Female,True,4,False,False,False,False,False,False,False,False
4303,Female,True,4,False,False,False,False,False,False,False,False
7732,Female,True,4,False,False,False,False,False,False,False,False
7051,Female,True,4,False,False,False,False,False,False,False,False
8548,Female,True,4,False,False,False,False,False,False,False,False
4767,Female,True,4,False,False,False,False,False,False,False,False
7741,Female,True,4,False,False,False,False,False,False,False,False
6511,Female,True,4,False,False,False,False,False,False,False,False
9616,Female,True,4,False,False,False,False,False,False,False,False
6616,Female,True,4,False,False,False,False,False,False,False,False
7857,Female,True,4,False,False,False,False,False,False,False,False
9051,Female,True,4,False,False,False,False,False,False,False,False
7933,Female,True,4,False,False,False,False,False,False,False,False
8392,Female,True,4,False,False,False,False,False,False,False,False
7372,Female,True,4,False,False,False,False,False,False,False,False
6320,Female,True,4,False,False,False,False,False,False,False,False
8101,Female,True,4,False,False,False,False,False,False,False,False
9544,Female,True,4,False,False,False,False,False,False,False,False
8554,Female,True,4,False,False,False,False,False,False,False,False
6161,Female,True,4,False,False,False,False,False,False,False,False
4957,Female,True,4,False,False,False,False,False,False,False,False
7519,Female,True,4,False,False,False,False,False,False,False,False
9460,Female,True,4,False,False,False,False,False,False,False,False
4882,Female,True,4,False,False,False,False,False,False,False,False
5058,Female,True,4,False,False,False,False,False,False,False,False
2818,Female,True,4,False,False,False,False,False,False,False,False
8008,Female,True,4,False,False,False,False,False,False,False,False
6949,Female,True,4,False,False,False,False,False,False,False,False
8162,Female,True,4,False,False,False,False,False,False,False,False
4248,Female,True,4,False,False,False,False,False,False,False,False
7139,Female,True,4,False,False,False,False,False,False,False,False
6673,Female,True,4,False,False,False,False,False,False,False,False
6447,Female,True,4,False,False,False,False,False,False,False,False
8919,Female,True,3,False,False,False,False,False,False,False,False
9451,Female,True,4,False,False,False,False,False,False,False,False
3534,Female,True,4,False,False,False,False,False,False,False,False
8233,Female,True,4,False,False,False,False,False,False,False,False
8998,Female,True,4,False,False,False,False,False,False,False,False
6938,Female,True,4,False,False,False,False,False,False,False,False
7255,Female,True,4,False,False,False,False,False,False,False,False
4034,Female,True,4,False,False,False,False,False,False,False,False
